Number of Guests,Quantity of Food,Wastage Food Amount,Type of Food_Dairy Products,Type of Food_Fruits,Type of Food_Meat,Type of Food_Vegetables,Storage Conditions_Room Temperature,Purchase History_Regular,Pricing_Low,Pricing_Moderate,Event Type_Corporate,Event Type_Social Gathering,Event Type_Wedding,Seasonality_Summer,Seasonality_Winter,Preparation Method_Finger Food,Preparation Method_Sit-down Dinner,Geographical Location_Suburban,Geographical Location_Urban,Predicted Wastage,Residuals
320,400,35,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,36.206768,-1.2067680358886719
290,374,27,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,26.999693,0.0003070831298828125
350,450,35,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,39.36508,-4.365081787109375
220,300,15,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,15.763225,-0.7632246017456055
320,400,20,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,24.237059,-4.237058639526367
267,393,24,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,23.99961,0.00038909912109375
320,400,35,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,36.206768,-1.2067680358886719
280,350,20,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,19.569233,0.4307670593261719
350,450,35,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,39.36508,-4.365081787109375
230,500,30,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,29.999985,1.52587890625e-05
350,450,30,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,30.00031,-0.0003108978271484375
230,500,20,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,20.00001,-9.5367431640625e-06
280,350,20,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,19.569233,0.4307670593261719
208,282,22,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,22.000078,-7.82012939453125e-05
400,500,40,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,44.99994,-4.99993896484375
350,450,25,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,25.370337,-0.37033653259277344
400,500,40,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,39.999897,0.000102996826171875
400,500,50,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,44.99994,5.00006103515625
220,300,15,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,15.763225,-0.7632246017456055
400,500,45,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,44.99994,6.103515625e-05
350,450,40,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,39.36508,0.634918212890625
247,348,16,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,16.000124,-0.0001239776611328125
230,500,30,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,29.999985,1.52587890625e-05
350,450,30,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,25.370337,4.629663467407227
397,482,31,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,31.000006,-5.7220458984375e-06
400,500,40,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,39.999897,0.000102996826171875
350,450,30,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,30.00031,-0.0003108978271484375
247,348,16,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,16.000124,-0.0001239776611328125
220,300,15,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,15.763225,-0.7632246017456055
439,459,39,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,35.833294,3.166706085205078
220,300,15,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,15.763225,-0.7632246017456055
280,350,20,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,19.569233,0.4307670593261719
220,300,15,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,15.763225,-0.7632246017456055
320,480,40,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,40.00001,-1.1444091796875e-05
220,300,15,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,15.000152,-0.00015163421630859375
250,350,30,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,32.000065,-2.0000648498535156
350,450,30,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,30.00031,-0.0003108978271484375
400,400,40,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,39.99951,0.00048828125
320,400,35,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,36.206768,-1.2067680358886719
280,350,20,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,18.81575,1.1842498779296875
350,450,45,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,39.36508,5.634918212890625
220,300,15,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,15.763225,-0.7632246017456055
491,497,32,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,32.300133,-0.30013275146484375
250,400,25,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,24.999447,0.000553131103515625
250,350,40,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,39.599945,0.400054931640625
220,300,15,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,15.763225,-0.7632246017456055
280,400,24,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,24.999786,-0.999786376953125
208,282,22,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,22.000078,-7.82012939453125e-05
280,350,15,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,19.569233,-4.569232940673828
320,400,25,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,24.237059,0.7629413604736328
300,400,20,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,18.409199,1.5908012390136719
400,500,45,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,44.99994,6.103515625e-05
350,450,35,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,39.36508,-4.365081787109375
350,450,35,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,39.36508,-4.365081787109375
300,400,20,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,19.642925,0.3570747375488281
220,300,15,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,15.763225,-0.7632246017456055
250,350,20,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,19.99979,0.000209808349609375
300,400,15,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,20.500048,-5.50004768371582
208,282,22,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,22.000078,-7.82012939453125e-05
438,493,35,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,35.00006,-6.103515625e-05
207,280,20,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,20.000147,-0.0001468658447265625
380,480,30,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,30.000023,-2.288818359375e-05
300,400,15,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,18.409199,-3.409198760986328
250,350,20,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,0,0,21.428581,-1.4285812377929688
491,497,32,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,32.300133,-0.30013275146484375
300,400,40,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,37.708664,2.2913360595703125
472,489,36,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,35.999718,0.00028228759765625
434,495,36,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,35.999943,5.7220458984375e-05
350,450,25,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,25.370337,-0.37033653259277344
280,350,20,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,19.569233,0.4307670593261719
300,400,35,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,37.708664,-2.7086639404296875
280,350,20,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,19.569233,0.4307670593261719
380,480,30,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,30.000023,-2.288818359375e-05
292,470,50,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,49.999905,9.5367431640625e-05
300,400,15,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,20.500048,-5.50004768371582
220,300,15,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,14.999952,4.76837158203125e-05
250,480,20,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,19.99977,0.0002307891845703125
280,350,20,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,19.569233,0.4307670593261719
270,400,40,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,39.99961,0.00038909912109375
220,300,15,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,15.763225,-0.7632246017456055
220,300,15,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,14.999952,4.76837158203125e-05
267,393,24,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,23.99961,0.00038909912109375
280,350,20,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,18.81575,1.1842498779296875
300,400,25,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,21.785835,3.2141647338867188
292,470,50,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,49.999905,9.5367431640625e-05
300,400,25,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,20.500048,4.49995231628418
220,300,15,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,15.763225,-0.7632246017456055
230,500,20,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,20.00001,-9.5367431640625e-06
400,500,50,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,44.99994,5.00006103515625
280,480,15,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0,14.999756,0.000244140625
310,350,35,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,35.00002,-1.9073486328125e-05
220,300,15,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,15.763225,-0.7632246017456055
292,470,50,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,49.999905,9.5367431640625e-05
400,500,45,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,44.99994,6.103515625e-05
350,450,20,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,20.00039,-0.00038909912109375
220,300,15,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,14.999952,4.76837158203125e-05
250,350,30,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,32.000065,-2.0000648498535156
350,450,35,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,39.36508,-4.365081787109375
400,500,40,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,44.99994,-4.99993896484375
320,400,25,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,24.237059,0.7629413604736328
400,500,50,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,44.99994,5.00006103515625
240,450,20,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,20.000233,-0.000232696533203125
250,350,20,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,21.428581,-1.4285812377929688
450,500,30,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,30.00023,-0.0002307891845703125
208,282,22,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,22.000078,-7.82012939453125e-05
434,495,36,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,35.999943,5.7220458984375e-05
230,500,20,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,20.00001,-9.5367431640625e-06
208,282,22,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,22.000078,-7.82012939453125e-05
300,400,30,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,29.999329,0.00067138671875
453,484,54,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,53.999863,0.0001373291015625
300,400,40,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,35.384552,4.615447998046875
261,350,23,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,23.166542,-0.16654205322265625
438,493,35,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,35.00006,-6.103515625e-05
400,500,45,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,44.99994,6.103515625e-05
280,350,15,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,18.81575,-3.8157501220703125
320,400,35,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,34.166843,0.8331565856933594
350,450,20,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,20.00039,-0.00038909912109375
320,400,35,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,36.206768,-1.2067680358886719
320,400,30,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,34.166843,-4.166843414306641
220,300,15,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,15.763225,-0.7632246017456055
400,500,40,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,39.999897,0.000102996826171875
302,371,27,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,26.7059,0.2940998077392578
280,350,20,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,19.569233,0.4307670593261719
400,500,50,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,44.99994,5.00006103515625
300,400,20,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,20.00008,-8.0108642578125e-05
400,500,25,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,25.000101,-0.0001010894775390625
350,450,45,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,39.36508,5.634918212890625
280,350,20,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,18.81575,1.1842498779296875
250,350,20,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,20.00038,-0.0003795623779296875
342,405,29,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,29.000107,-0.0001068115234375
400,500,40,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,44.99994,-4.99993896484375
380,400,25,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,25.00002,-1.9073486328125e-05
300,400,25,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,20.500048,4.49995231628418
350,450,25,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,25.370337,-0.37033653259277344
350,450,30,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,30.00031,-0.0003108978271484375
367,420,40,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,39.999603,0.000396728515625
300,400,20,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,19.642925,0.3570747375488281
320,480,40,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,40.00001,-1.1444091796875e-05
207,280,20,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,20.000147,-0.0001468658447265625
310,350,35,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,35.00002,-1.9073486328125e-05
350,450,25,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,25.370337,-0.37033653259277344
275,388,16,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,16.000334,-0.0003337860107421875
350,450,25,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,25.370337,-0.37033653259277344
380,500,35,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,35.00007,-6.866455078125e-05
491,497,32,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,32.300133,-0.30013275146484375
320,400,25,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,25.000416,-0.000415802001953125
300,400,40,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,37.708664,2.2913360595703125
247,348,16,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,16.000124,-0.0001239776611328125
380,480,30,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,30.000023,-2.288818359375e-05
300,400,20,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,20.00008,-8.0108642578125e-05
300,400,30,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,29.999329,0.00067138671875
300,400,40,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,37.708664,2.2913360595703125
220,300,15,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,15.763225,-0.7632246017456055
350,450,25,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,25.370337,-0.37033653259277344
250,350,25,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,21.428581,3.5714187622070312
208,282,22,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,22.000078,-7.82012939453125e-05
320,400,30,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,34.166843,-4.166843414306641
275,388,16,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,16.000334,-0.0003337860107421875
397,482,31,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,31.000006,-5.7220458984375e-06
320,400,20,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,1,24.237059,-4.237058639526367
350,450,20,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,19.999897,0.000102996826171875
250,350,20,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,20.00038,-0.0003795623779296875
434,495,36,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,35.999943,5.7220458984375e-05
400,500,50,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,44.99994,5.00006103515625
280,350,15,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,19.569233,-4.569232940673828
250,350,20,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,19.99979,0.000209808349609375
280,350,20,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,20.000038,-3.814697265625e-05
350,450,25,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,25.370337,-0.37033653259277344
275,388,16,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,16.000334,-0.0003337860107421875
400,350,35,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,35.00016,-0.00016021728515625
434,495,36,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,35.999943,5.7220458984375e-05
400,500,25,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,1,25.000101,-0.0001010894775390625
300,400,15,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,21.785835,-6.785835266113281
220,300,15,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,15.763225,-0.7632246017456055
380,480,30,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,30.000023,-2.288818359375e-05
250,350,40,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,39.599945,0.400054931640625
250,350,20,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,0,21.428581,-1.4285812377929688
208,282,22,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,22.000078,-7.82012939453125e-05
220,300,15,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,15.000152,-0.00015163421630859375
350,450,35,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,39.36508,-4.365081787109375
300,400,20,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,19.642925,0.3570747375488281
300,400,40,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,35.384552,4.615447998046875
300,400,15,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,21.785835,-6.785835266113281
450,500,30,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,30.00023,-0.0002307891845703125
400,500,45,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,44.99994,6.103515625e-05
300,400,30,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,35.384552,-5.384552001953125
300,400,20,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,20.500048,-0.5000476837158203
350,450,40,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,39.998905,0.001094818115234375
220,300,15,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,15.763225,-0.7632246017456055
320,480,40,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,40.00001,-1.1444091796875e-05
310,350,35,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,35.00002,-1.9073486328125e-05
400,500,40,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,39.999897,0.000102996826171875
250,480,20,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,1,19.99977,0.0002307891845703125
300,400,40,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,35.384552,4.615447998046875
350,450,25,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,25.370337,-0.37033653259277344
280,350,15,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,19.569233,-4.569232940673828
